fcs_colname,antigen,marker_class
Time,Time,type
Event_length,Event_length,type
89Y_CD45,CD45,type
141Pr_CD3,CD3,type
142Nd_CD19,CD19,type
145Nd_CD4,CD4,type
146Nd_CD8a,CD8a,type
176Yb_CD7,CD7,type
167Er_CD11b__Mac-1_,CD11b_Mac-1,type
147Sm_CD11c,CD11c,type
160Gd_CD14,CD14,type
209Bi_CD16,CD16,type
169Tm__CD25_IL-2R_,CD25_IL-2R,type
155Gd_CD45RA,CD45RA,type
149Sm_CD56__NCAM_,CD56_NCAM,type
153Eu_CD62L,CD62L,type
162Dy_CD66b,CD66b,type
151Eu_CD123_IL-3R_,CD123_IL-3R,type
168Er_CD127__IL-7Ra_,CD127_IL-7Ra,type
156Gd_CD184,CD184,type
150Nd_CD192_CCR2_,CD192_CCR2,type
172Yb_CX3CR1,CX3CR1,type
159Tb_FoxP3,FoxP3,type
152Sm_TNFa,TNFa,type
158Gd_IFNg,IFNg,type
163Dy_IL-4,IL-4,type
166Er_IL-10,IL-10,type
148Nd_IL-17A,IL-17A,type
173Yb_HLA-DR,HLA-DR,type
174Yb_CD279_PD-1_,CD279_PD-1,type
Center,Center,type
Offset,Offset,type
Width,Width,type
Residual,Residual,type
